"date","M.BCPI","M.BCNE","M.ENER","M.MTLS","M.FOPR","M.AGRI","M.FISH"
"1972-01-01","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"1972-02-01","100.40","100.53","99.78","100.74","100.12","101.20","88.89"
"1972-03-01","101.11","101.35","100.05","101.38","100.24","102.53","98.97"
"1972-04-01","101.16","101.45","99.84","101.21","100.95","102.08","103.10"
"1972-05-01","101.88","102.30","100.00","101.25","102.32","103.53","86.30"
"1972-06-01","102.10","102.53","100.16","100.87","102.94","103.65","90.70"
"1972-07-01","103.70","104.46","100.32","100.59","105.00","106.87","97.42"
"1972-08-01","104.81","105.61","101.21","101.18","105.13","109.42","101.03"
"1972-09-01","105.80","106.83","101.21","102.86","105.31","111.26","105.94"
"1972-10-01","106.49","107.68","101.16","102.69","106.86","112.13","107.24"
"1972-11-01","107.78","109.19","101.58","102.02","107.05","116.16","126.87"
"1972-12-01","110.33","112.33","101.64","102.62","107.05","125.35","115.50"
"1973-01-01","114.42","116.75","104.30","106.83","108.90","132.48","128.94"
"1973-02-01","117.58","120.66","104.39","111.75","114.27","134.98","110.85"
"1973-03-01","122.04","126.10","104.88","120.56","122.32","136.02","108.79"
"1973-04-01","124.13","128.42","106.04","123.89","126.45","135.96","114.73"
"1973-05-01","130.09","134.89","109.94","128.00","130.31","146.78","112.66"
"1973-06-01","134.35","139.62","112.39","135.25","124.86","161.21","95.09"
"1973-07-01","141.44","148.14","114.06","142.97","125.66","178.00","127.39"
"1973-08-01","149.73","158.29","115.52","144.01","125.41","208.87","120.67"
"1973-09-01","147.38","154.17","119.49","145.03","128.75","190.54","126.87"
"1973-10-01","146.52","153.04","119.68","150.72","129.40","182.27","127.65"
"1973-11-01","150.16","156.44","124.12","159.64","127.37","187.56","154.01"
"1973-12-01","153.31","158.57","131.07","161.89","127.30","192.93","140.57"
"1974-01-01","163.36","164.36","156.35","163.21","130.51","205.89","131.78"
"1974-02-01","171.72","170.25","173.12","175.89","131.55","213.03","139.53"
"1974-03-01","170.72","169.04","172.91","188.66","136.36","194.03","121.45"
"1974-04-01","173.58","172.59","173.23","205.88","146.49","180.47","147.80"
"1974-05-01","171.59","169.67","174.64","213.58","144.58","171.19","129.97"
"1974-06-01","170.19","167.60","175.74","202.30","141.43","176.14","104.65"
"1974-07-01","179.07","174.62","191.52","187.52","148.62","195.52","134.63"
"1974-08-01","180.91","175.41","197.46","187.87","145.54","201.70","125.58"
"1974-09-01","177.01","170.63","197.27","174.45","143.46","199.28","136.95"
"1974-10-01","181.03","173.56","205.73","170.25","145.43","209.36","124.55"
"1974-11-01","180.41","173.61","202.32","169.46","146.58","208.90","118.09"
"1974-12-01","175.93","167.91","203.08","159.51","144.48","201.39","133.33"
"1975-01-01","175.66","164.92","213.58","159.88","151.17","186.01","112.92"
