"id","label","description"
"STATIC_ATABLE_CPILL","Target range","Target range"
"STATIC_ATABLE_CPIHL","Target range","Target range"
"CPI_TRIM","CPI-trim","CPI-trim"
"CPI_MEDIAN","CPI-median","CPI-median"
"CPI_COMMON","CPI-common","CPI-common"
"STATIC_ATABLE_V122544_V122553","Yield spread between convent. and Real Return bonds","Yield spread between convent. and Real Return bonds"
"STATIC_ATABLE_V35014A","Average Hourly Earnings (LFS)","Average Hourly Earnings (LFS)"
"STATIC_ATABLE_BL800502","Average Hourly Earnings (SEPH)","Average Hourly Earnings (SEPH)"
